index,Habitats,Sub_habitats,DOI,Regions,Continents,BioProject,Experiment,SRA.Study,BioSample,Accession,ReleaseDate,Collection_date,pc1,pc2
Soil_16,Soil,Agricultural,10.1038/s41396-019-0582-x,USA,North America,PRJNA517182,SRX5294462,SRP182105,SAMN10822082,SRR8489915,2019-10-01T00:00:00Z,,-0.0636232271589643,-0.5139443110855956
Soil_17,Soil,Agricultural,10.1038/s41396-019-0582-x,USA,North America,PRJNA517182,SRX5294461,SRP182105,SAMN10822082,SRR8489916,2019-10-01T00:00:00Z,,-0.058904739892357,-0.4875622819281368
Soil_18,Soil,Agricultural,10.1038/s41396-019-0582-x,USA,North America,PRJNA517182,SRX5294460,SRP182105,SAMN10822082,SRR8489917,2019-10-01T00:00:00Z,,-0.0587026073661698,-0.4923503799297266
Soil_21,Soil,Agricultural,10.1128/Spectrum.00767-21,China,Asia,PRJNA723704,SRX10675470,SRP316222,SAMN18825580,SRR14320326,2021-10-06T00:00:00Z,,-0.0389840575914656,-0.1199284433081089
Soil_22,Soil,Agricultural,10.1128/Spectrum.00767-21,China,Asia,PRJNA723704,SRX10675475,SRP316222,SAMN18825585,SRR14320321,2021-10-06T00:00:00Z,,0.1574631564514157,-0.1690070522997445
Soil_23,Soil,Agricultural,10.1128/Spectrum.00767-21,China,Asia,PRJNA723704,SRX10675474,SRP316222,SAMN18825584,SRR14320322,2021-10-06T00:00:00Z,,-0.0222971582342798,-0.1348724485938968
Soil_24,Soil,Agricultural,10.1128/Spectrum.00767-21,China,Asia,PRJNA723704,SRX10675473,SRP316222,SAMN18825583,SRR14320323,2021-10-06T00:00:00Z,,0.0031018225555451,-0.1217514495028361
Soil_25,Soil,Agricultural,10.1128/Spectrum.00767-21,China,Asia,PRJNA723704,SRX10675476,SRP316222,SAMN18825586,SRR14320320,2021-10-06T00:00:00Z,,0.0250328137834531,-0.1569662812820982
Soil_26,Soil,Agricultural,10.1128/Spectrum.00767-21,China,Asia,PRJNA723704,SRX10675468,SRP316222,SAMN18825588,SRR14320328,2021-10-06T00:00:00Z,,-0.0438269970780158,-0.1471710854986594
Soil_27,Soil,Agricultural,10.1128/Spectrum.00767-21,China,Asia,PRJNA723704,SRX10675467,SRP316222,SAMN18825587,SRR14320329,2021-10-06T00:00:00Z,,0.0129989836071167,-0.1400669058819738
Soil_28,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310152,SRP026158,SAMN02202255,SRR908208,2014-06-12T00:00:00Z,,0.1098153044042419,-0.1011320066583089
Soil_29,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310152,SRP026158,SAMN02202255,SRR908211,2014-06-12T00:00:00Z,,0.0969310843607538,-0.1159207716822301
Soil_30,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310152,SRP026158,SAMN02202255,SRR908272,2014-06-12T00:00:00Z,,0.1769404777837731,-0.1173997937339652
Soil_31,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310215,SRP026158,SAMN02202255,SRR908273,2014-06-12T00:00:00Z,,0.176599101096146,-0.1449377303689764
Soil_32,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310215,SRP026158,SAMN02202255,SRR908275,2014-06-12T00:00:00Z,,0.119108377969863,-0.224379892840316
Soil_33,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310215,SRP026158,SAMN02202255,SRR908276,2014-06-12T00:00:00Z,,0.1510772092333122,-0.1095058881728353
Soil_34,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310217,SRP026158,SAMN02202255,SRR908279,2014-06-12T00:00:00Z,,0.0276158475849875,-0.1766100614936324
Soil_35,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310217,SRP026158,SAMN02202255,SRR908281,2014-06-12T00:00:00Z,,0.020456763022053,-0.2278228967456035
Soil_36,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310217,SRP026158,SAMN02202255,SRR908290,2014-06-12T00:00:00Z,,0.016558457062521,-0.2687986262519508
Soil_37,Soil,Agricultural,10.1038/ncomms5950,Israel,Asia,PRJNA208116,SRX310217,SRP026158,SAMN02202255,SRR908291,2014-06-12T00:00:00Z,,0.023236797965236,-0.2115430237986866
