Sample_ID,PC1,PC2,Habitats,Continents,Regions,Lat,Lng
Soil_1,-0.1680433745478685,-0.058126534824118,Soil,North America,USA,37.09,-95.71
Soil_2,-0.1680315068793678,-0.0578875915091942,Soil,North America,USA,37.09,-95.71
Soil_3,-0.168040966034089,-0.0582635622662185,Soil,North America,USA,37.09,-95.71
Soil_4,-0.1680330959825191,-0.0576167728598189,Soil,North America,USA,37.09,-95.71
Soil_5,-0.168034094873184,-0.0577046008062952,Soil,North America,USA,37.09,-95.71
Soil_6,-0.1680408642166047,-0.0579734742235172,Soil,North America,USA,37.09,-95.71
Soil_7,-0.1680280461776397,-0.0580151658280431,Soil,North America,USA,37.09,-95.71
Soil_8,-0.168081558520675,-0.0601717774357485,Soil,North America,USA,37.09,-95.71
Soil_9,-0.1680891591906829,-0.0601409042751226,Soil,North America,USA,37.09,-95.71
Soil_10,-0.1680945105521528,-0.0606049128748748,Soil,North America,USA,37.09,-95.71
Soil_11,-0.16809220882681,-0.0601953587308322,Soil,North America,USA,37.09,-95.71
Soil_12,-0.1680935282235488,-0.0605909180364417,Soil,North America,USA,37.09,-95.71
Soil_13,-0.1680776685370583,-0.0601373782559361,Soil,North America,USA,37.09,-95.71
Soil_14,-0.1680744115272092,-0.059567388149199,Soil,North America,USA,37.09,-95.71
Soil_15,-0.1680504734957905,-0.0602859617579168,Soil,North America,USA,37.09,-95.71
Soil_16,-0.1681114821563708,-0.0616059520114797,Soil,North America,USA,37.09,-95.71
Soil_17,-0.1680977484638862,-0.0609131215801554,Soil,North America,USA,37.09,-95.71
Soil_18,-0.1681002872431909,-0.0610759977435269,Soil,North America,USA,37.09,-95.71
Soil_19,-0.1678249834624921,-0.048347786037576,Soil,Asia,China,35.86,104.19
Soil_20,-0.167774422844929,-0.0454801605748313,Soil,Asia,China,35.86,104.19
Soil_21,-0.1677903195815576,-0.0468829905409179,Soil,Asia,China,35.86,104.19
Soil_22,-0.1674548378500719,-0.0238006875963097,Soil,Asia,China,35.86,104.19
Soil_23,-0.1677991216934602,-0.0469721269837369,Soil,Asia,China,35.86,104.19
Soil_24,-0.1676915608698896,-0.0430015346448682,Soil,Asia,China,35.86,104.19
Soil_25,-0.1676843397952865,-0.0402584314305714,Soil,Asia,China,35.86,104.19
Soil_26,-0.167804042858571,-0.0470542693763974,Soil,Asia,China,35.86,104.19
Soil_27,-0.1676634331907735,-0.0409771110539988,Soil,Asia,China,35.86,104.19
Soil_28,-0.1676164764714764,-0.0371397015630042,Soil,Asia,Israel,0.0,0.0
Soil_29,-0.1676887268659134,-0.038165213129477,Soil,Asia,Israel,0.0,0.0
Soil_30,-0.1675645183408896,-0.0316925096607082,Soil,Asia,Israel,0.0,0.0
Soil_31,-0.1673262178787835,-0.0207013250200819,Soil,Asia,Israel,0.0,0.0
Soil_32,-0.1673000590468497,-0.0357675501930744,Soil,Asia,Israel,0.0,0.0
Soil_33,-0.1674841714732551,-0.0276448627205388,Soil,Asia,Israel,0.0,0.0
Soil_34,-0.1676858639644468,-0.044492697547409,Soil,Asia,Israel,0.0,0.0
Soil_35,-0.1673578735206453,-0.0467392375869149,Soil,Asia,Israel,0.0,0.0
Soil_36,-0.167716557492316,-0.0501426296048397,Soil,Asia,Israel,0.0,0.0
Soil_37,-0.167551980488344,-0.0459937905987405,Soil,Asia,Israel,0.0,0.0
Cattle_feces_38,-0.1069958588409102,-0.0171360282329546,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_39,-0.0740465516631231,-0.0065102708542744,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_40,-0.1002108210370348,-0.0170139408587275,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_41,-0.109348087030769,-0.0067344863844839,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_42,-0.0861342291378485,-0.0206195307821923,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_43,-0.1298488399722243,-0.0084591282805311,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_44,-0.1043940349037023,-0.0234558278614069,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_45,-0.1094810992038427,-0.0210895376268527,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_46,-0.130149200117668,-0.0010869144547665,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_47,-0.132381243102833,-0.0124141300670459,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_48,-0.1438997479093051,-0.0296383112077798,Cattle_feces,Asia,South Korea,0.0,0.0
Cattle_feces_49,-0.1387140196690523,-0.0200892312514333,Cattle_feces,Asia,South Korea,0.0,0.0
Chicken_feces_50,0.4627297330019611,0.0525063304711725,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_51,0.4453928605604548,0.0851994828174031,Chicken_feces,North America,Canada,0.0,0.0
Chicken_feces_52,0.4890069649621155,0.100811829217547,Chicken_feces,North America,Canada,0.0,0.0
Chicken_feces_53,0.4304253149946361,0.1423062295329965,Chicken_feces,North America,Canada,0.0,0.0
Chicken_feces_54,0.4352841767568035,0.123584818341576,Chicken_feces,North America,Canada,0.0,0.0
Chicken_feces_55,0.4867496244306961,0.1545090069591314,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_56,0.642593810452993,0.1149702235963836,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_57,0.549313048764763,0.0520059191728105,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_58,0.7646521659175366,0.030569199550886,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_59,0.6248477152841169,-0.0059151788511834,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_60,0.7611643359252455,0.0692597968317565,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_61,0.4189358136931647,0.059560712210336,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_62,0.5838143201863841,0.0519386993846521,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_63,0.7219284145238543,0.0759499605498182,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_64,0.497462450023591,0.0327692053066024,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_65,0.5755196326740434,0.4563468921582383,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_66,0.6290973029770763,0.0466475940458703,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_67,0.5999502332877664,0.0017191990307948,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_68,0.6366835182818577,0.1332381282552382,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_69,0.536640901912293,0.0575585970319589,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_70,0.3455043213114916,-0.0139087768108073,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_71,0.3892733126129473,0.0251356249888837,Chicken_feces,North America,USA,37.09,-95.71
Chicken_feces_72,0.3557068690876487,0.0142680676920484,Chicken_feces,North America,USA,37.09,-95.71
